DATE DELIVERED,VERIS PATH,RELATIONSHIP TYPE,TECHNIQUE ID
23/01/18,action.hacking.variety.Evade Defenses,related-to,T1406.002
23/01/18,action.hacking.variety.Evade Defenses,related-to,T1644
23/01/18,action.hacking.variety.Exploit misconfig,related-to,T1626
23/01/18,action.hacking.variety.Exploit misconfig,related-to,T1404
23/01/18,action.hacking.variety.Exploit misconfig,related-to,T1428
23/01/18,action.hacking.variety.Exploit vuln,related-to,T1404
23/01/18,action.hacking.variety.Fuzz testing,related-to,T1404
23/01/18,action.hacking.variety.MitM,related-to,T1638
23/01/18,action.hacking.variety.Profile host,related-to,T1426
23/01/18,action.hacking.variety.Profile host,related-to,T1418
23/01/18,action.hacking.variety.Profile host,related-to,T1418.001
23/01/18,action.hacking.variety.Profile host,related-to,T1627
23/01/18,action.hacking.variety.Profile host,related-to,T1627.001
23/01/18,action.hacking.variety.Profile host,related-to,T1424
23/01/18,action.hacking.variety.Scan network,related-to,T1422
23/01/18,action.hacking.variety.Scan network,related-to,T1421
23/01/18,action.hacking.variety.Scan network,related-to,T1423
23/01/18,action.hacking.variety.Other,related-to,T1631
23/01/18,action.hacking.variety.Other,related-to,T1631.001
23/01/18,action.hacking.variety.Unknown,related-to,T1625
23/01/18,action.hacking.variety.Unknown,related-to,T1625.001
23/01/18,action.hacking.vector.Backdoor,related-to,T1437
23/01/18,action.hacking.vector.Backdoor,related-to,T1398
23/01/18,action.hacking.vector.Backdoor,related-to,T1577
23/01/18,action.hacking.vector.Backdoor,related-to,T1645
23/01/18,action.hacking.vector.Backdoor,related-to,T1637
23/01/18,action.hacking.vector.Backdoor,related-to,T1637.001
23/01/18,action.hacking.vector.Backdoor,related-to,T1481
23/01/18,action.hacking.vector.Backdoor,related-to,T1481.001
23/01/18,action.hacking.vector.Backdoor,related-to,T1481.002
23/01/18,action.hacking.vector.Backdoor,related-to,T1481.003
23/01/18,action.hacking.vector.Backdoor,related-to,T1644
23/01/18,action.hacking.vector.Command shell,related-to,T1623
23/01/18,action.hacking.vector.Command shell,related-to,T1623.001
23/01/18,action.hacking.vector.Partner,related-to,T1474
23/01/18,action.hacking.vector.Partner,related-to,T1474
23/01/18,action.hacking.vector.Partner,related-to,T1474
23/01/18,action.hacking.vector.Partner,related-to,T1474
23/01/18,action.hacking.vector.Other network service,related-to,T1641.001
23/01/18,action.malware.variety.Backdoor,related-to,T1577
23/01/18,action.malware.variety.Backdoor,related-to,T1645
23/01/18,action.malware.variety.Backdoor or C2,related-to,T1398
23/01/18,action.malware.variety.C2,related-to,T1437
23/01/18,action.malware.variety.C2,related-to,T1437.001
23/01/18,action.malware.variety.C2,related-to,T1637
23/01/18,action.malware.variety.C2,related-to,T1637.001
23/01/18,action.malware.variety.C2,related-to,T1521
23/01/18,action.malware.variety.C2,related-to,T1521.001
23/01/18,action.malware.variety.C2,related-to,T1521.002
23/01/18,action.malware.variety.C2,related-to,T1643
23/01/18,action.malware.variety.C2,related-to,T1644
23/01/18,action.malware.variety.C2,related-to,T1604
23/01/18,action.malware.variety.C2,related-to,T1582
23/01/18,action.malware.variety.Capture app data,related-to,T1429
23/01/18,action.malware.variety.Capture app data,related-to,T1512
23/01/18,action.malware.variety.Capture app data,related-to,T1513
23/01/18,action.malware.variety.Capture stored data,related-to,T1517
23/01/18,action.malware.variety.Capture stored data,related-to,T1634
23/01/18,action.malware.variety.Capture stored data,related-to,T1634.001
23/01/18,action.malware.variety.Capture stored data,related-to,T1533
23/01/18,action.malware.variety.Capture stored data,related-to,T1636
23/01/18,action.malware.variety.Capture stored data,related-to,T1636.001
23/01/18,action.malware.variety.Capture stored data,related-to,T1636.002
23/01/18,action.malware.variety.Capture stored data,related-to,T1636.003
23/01/18,action.malware.variety.Capture stored data,related-to,T1636.004
23/01/18,action.malware.variety.Capture stored data,related-to,T1420
23/01/18,action.malware.variety.Capture stored data,related-to,T1409
23/01/18,action.malware.variety.Client-side attack,related-to,T1626
23/01/18,action.malware.variety.Client-side attack,related-to,T1626.001
23/01/18,action.malware.variety.Disable controls,related-to,T1633
23/01/18,action.malware.variety.Disable controls,related-to,T1633.001
23/01/18,action.malware.variety.Disable controls,related-to,T1629
23/01/18,action.malware.variety.Disable controls,related-to,T1629.003
23/01/18,action.malware.variety.Disable controls,related-to,T1632
23/01/18,action.malware.variety.Disable controls,related-to,T1632.001
23/01/18,action.malware.variety.DoS,related-to,T1642
23/01/18,action.malware.variety.DoS,related-to,T1464
23/01/18,action.malware.variety.Evade Defenses,related-to,T1627
23/01/18,action.malware.variety.Evade Defenses,related-to,T1627.001
23/01/18,action.malware.variety.Evade Defenses,related-to,T1628
23/01/18,action.malware.variety.Evade Defenses,related-to,T1628.001
23/01/18,action.malware.variety.Evade Defenses,related-to,T1628.002
23/01/18,action.malware.variety.Evade Defenses,related-to,T1630
23/01/18,action.malware.variety.Evade Defenses,related-to,T1406
23/01/18,action.malware.variety.Evade Defenses,related-to,T1406.001
23/01/18,action.malware.variety.Evade Defenses,related-to,T1406.002
23/01/18,action.malware.variety.Evade Defenses,related-to,T1644
23/01/18,action.malware.variety.Evade Defenses,related-to,T1617
23/01/18,action.malware.variety.Evade Defenses,related-to,T1630.001
23/01/18,action.malware.variety.Evade Defenses,related-to,T1630.002
23/01/18,action.malware.variety.Evade Defenses,related-to,T1630.003
23/01/18,action.malware.variety.Evade Defenses,related-to,T1544
23/01/18,action.malware.variety.Exploit vuln,related-to,T1428
23/01/18,action.malware.variety.Export data,related-to,T1639
23/01/18,action.malware.variety.Export data,related-to,T1639.001
23/01/18,action.malware.variety.Export data,related-to,T1646
23/01/18,action.malware.variety.In-memory,related-to,T1414
23/01/18,action.malware.variety.MitM,related-to,T1635.001
23/01/18,action.malware.variety.Modify data,related-to,T1532
23/01/18,action.malware.variety.Modify data,related-to,T1641
23/01/18,action.malware.variety.Modify data,related-to,T1641.001
23/01/18,action.malware.variety.Ransomware,related-to,T1471
23/01/18,action.malware.variety.Spyware/Keylogger,related-to,T1417
23/01/18,action.malware.variety.Trojan,related-to,T1577
23/01/18,action.malware.variety.Worm,related-to,T1458
23/01/18,action.malware.vector.Instant messaging,related-to,T1582
23/01/18,action.malware.vector.Removable media,related-to,T1458
23/01/18,action.malware.vector.Software update,related-to,T1407
23/01/18,action.malware.vector.Web application - drive-by,related-to,T1456
23/01/18,action.social.variety.Pretexting,related-to,T1582
23/01/18,action.social.vector.Email,related-to,T1517
23/01/18,action.social.vector.SMS,related-to,T1517
23/01/18,action.social.vector.SMS,related-to,T1582
23/01/18,attribute.integrity.variety.Alter behavior,related-to,T1616
23/01/18,attribute.integrity.variety.Alter behavior,related-to,T1624
23/01/18,attribute.integrity.variety.Alter behavior,related-to,T1624.001
23/01/18,attribute.integrity.variety.Log tampering,related-to,T1630
23/01/18,attribute.integrity.variety.Modify configuration,related-to,T1640
23/01/18,attribute.integrity.variety.Modify configuration,related-to,T1398
23/01/18,attribute.integrity.variety.Modify configuration,related-to,T1577
23/01/18,attribute.integrity.variety.Modify configuration,related-to,T1645
23/01/18,attribute.integrity.variety.Modify configuration,related-to,T1629
23/01/18,attribute.integrity.variety.Modify configuration,related-to,T1629.003
23/01/18,attribute.integrity.variety.Modify configuration,related-to,T1629.002
23/01/18,attribute.integrity.variety.Modify data,related-to,T1641.001
23/01/18,attribute.integrity.variety.Modify privileges,related-to,T1398
23/01/18,attribute.integrity.variety.Software installation,related-to,T1407
23/01/18,value_chain.non-distribution services.variety.Proxy,related-to,T1604
23/01/18,value_chain.targeting.variety.Lost or stolen credentials,related-to,T1635
